norm_title,composite_score,source_count,sources,example_title,example_url,category,status
marieaimarieai,0.0038399999999999997,1,github,marieai/marie-ai,https://github.com/marieai/marie-ai,analytics_engineering,NEW / SPIKE
esipfedgeoweaver,0.0038,1,github,ESIPFed/Geoweaver,https://github.com/ESIPFed/Geoweaver,analytics_engineering,NEW / SPIKE
servicenowsygra,0.00368,1,github,ServiceNow/SyGra,https://github.com/ServiceNow/SyGra,analytics_engineering,NEW / SPIKE
dbt data engineering,0.0036,1,trends,dbt data engineering,https://trends.google.com/trends/explore?q=dbt+data+engineering,analytics_engineering,NEW / SPIKE
dbt,0.0036,1,trends,dbt,https://trends.google.com/trends/explore?q=dbt,analytics_engineering,EVERGREEN
socialmediaskillsskills,0.0036,1,github,social-media-skills/skills,https://github.com/social-media-skills/skills,ai_analytics,NEW / SPIKE
agentscopeaiqwenpawdata,0.00324,1,github,agentscope-ai/QwenPaw-Data,https://github.com/agentscope-ai/QwenPaw-Data,ai_analytics,NEW / SPIKE
google data analytics certification,0.003,1,trends,google data analytics certification,https://trends.google.com/trends/explore?q=google+data+analytics+certification,data_analytics,NEW / SPIKE
we benchmark analytics agents this explains how,0.003,1,hn,"We Benchmark Analytics Agents, this explains how",https://benchouse.ai/blog/how-we-benchmark-analytics-agents,ai_analytics,NEW / SPIKE
data engineering vs data analytics,0.003,1,trends,data engineering vs data analytics,https://trends.google.com/trends/explore?q=data+engineering+vs+data+analytics,analytics_engineering,NEW / SPIKE
centerforthreatinformeddefensesummitingthepyramid,0.0026,1,github,center-for-threat-informed-defense/summiting-the-pyramid,https://github.com/center-for-threat-informed-defense/summiting-the-pyramid,analytics_engineering,NEW / SPIKE
data pipeline development,0.0024,1,trends,data pipeline development,https://trends.google.com/trends/explore?q=data+pipeline+development,analytics_engineering,NEW / SPIKE
priyanshubytecodercontextrot,0.00212,1,github,Priyanshu-byte-coder/contextrot,https://github.com/Priyanshu-byte-coder/contextrot,ai_analytics,NEW / SPIKE
victorkiprutoropreal_time_transaction_streamingmpesa,0.00184,1,github,Victor-Kipruto-Rop/Real_Time_Transaction_Streaming-MPESA-,https://github.com/Victor-Kipruto-Rop/Real_Time_Transaction_Streaming-MPESA-,analytics_engineering,NEW / SPIKE
data pipeline tools,0.0018,1,trends,data pipeline tools,https://trends.google.com/trends/explore?q=data+pipeline+tools,analytics_engineering,RECURRING
pellalabspellametric,0.0018,1,github,pella-labs/pellametric,https://github.com/pella-labs/pellametric,analytics_engineering,NEW / SPIKE
amirhosseinhonardoustcoffeeshopprofitpredictor,0.0016,1,github,AmirhosseinHonardoust/Coffee-Shop-Profit-Predictor,https://github.com/AmirhosseinHonardoust/Coffee-Shop-Profit-Predictor,analytics_engineering,NEW / SPIKE
speclockdiff framework for agentic dbt development,0.0015,1,hn,Spec-Lock-Diff: a framework for agentic dbt development,https://github.com/miloskimatheus/spec-lock-diff/,analytics_engineering,NEW / SPIKE
show hn etlfunnel selfhosted codefirst data pipelines v111,0.0015,1,hn,"Show HN: ETLFunnel – self-hosted, code-first data pipelines (v1.1.1)",https://etlfunnel.com,analytics_engineering,NEW / SPIKE
dreameroldreamerol,0.0014800000000000002,1,github,Dreamerol/Dreamerol,https://github.com/Dreamerol/Dreamerol,analytics_engineering,NEW / SPIKE
nirholasbnbchainmcp,0.00136,1,github,nirholas/bnbchain-mcp,https://github.com/nirholas/bnbchain-mcp,ai_analytics,NEW / SPIKE
big data pipeline,0.0012,1,trends,big data pipeline,https://trends.google.com/trends/explore?q=big+data+pipeline,analytics_engineering,NEW / SPIKE
data pipeline platform,0.0012,1,trends,data pipeline platform,https://trends.google.com/trends/explore?q=data+pipeline+platform,analytics_engineering,NEW / SPIKE
data pipeline monitoring,0.0012,1,trends,data pipeline monitoring,https://trends.google.com/trends/explore?q=data+pipeline+monitoring,analytics_engineering,NEW / SPIKE
data pipeline architecture,0.0012,1,trends,data pipeline architecture,https://trends.google.com/trends/explore?q=data+pipeline+architecture,analytics_engineering,RECURRING
data pipeline meaning,0.0012,1,trends,data pipeline meaning,https://trends.google.com/trends/explore?q=data+pipeline+meaning,analytics_engineering,RECURRING
data pipeline aws,0.0012,1,trends,data pipeline aws,https://trends.google.com/trends/explore?q=data+pipeline+aws,analytics_engineering,NEW / SPIKE
victorkiprutoropmedallionlakehouseplatform,0.00108,1,github,Victor-Kipruto-Rop/medallion-lakehouse-platform,https://github.com/Victor-Kipruto-Rop/medallion-lakehouse-platform,analytics_engineering,NEW / SPIKE
exmergodex,0.0009599999999999999,1,github,exmergo/dex,https://github.com/exmergo/dex,analytics_engineering,NEW / SPIKE
analyticsdurgeshsnowflake_dbt_project,0.00092,1,github,analyticsdurgesh/Snowflake_DBT_Project,https://github.com/analyticsdurgesh/Snowflake_DBT_Project,analytics_engineering,NEW / SPIKE
dreamerolallstats,0.00068,1,github,Dreamerol/ALLSTATS,https://github.com/Dreamerol/ALLSTATS,analytics_engineering,NEW / SPIKE
codpallimiteddeckgauge,0.00064,1,github,Codpal-Limited/deckgauge,https://github.com/Codpal-Limited/deckgauge,analytics_engineering,NEW / SPIKE
errajeshcspixelds4earth,0.00064,1,github,errajeshcs-pixel/DS4Earth,https://github.com/errajeshcs-pixel/DS4Earth,analytics_engineering,NEW / SPIKE
etl data pipeline,0.0006,1,trends,etl data pipeline,https://trends.google.com/trends/explore?q=etl+data+pipeline,analytics_engineering,NEW / SPIKE
